Goal,SeriesCode,GeoAreaCode,Units,TimePeriod,Value
9,EN_ATM_CO2GDP,120,KG_PER_CON_USD,2001,0.061
9,EN_ATM_CO2GDP,124,KG_PER_CON_USD,2001,0.429
9,EN_ATM_CO2GDP,29,KG_PER_CON_USD,2001,0.231
9,EN_ATM_CO2GDP,135,KG_PER_CON_USD,2001,0.843
9,EN_ATM_CO2GDP,13,KG_PER_CON_USD,2001,0.196
9,EN_ATM_CO2GDP,62,KG_PER_CON_USD,2001,0.348
9,EN_ATM_CO2GDP,143,KG_PER_CON_USD,2001,0.935
9,EN_ATM_CO2GDP,152,KG_PER_CON_USD,2001,0.188
9,EN_ATM_CO2GDP,156,KG_PER_CON_USD,2001,0.689
9,EN_ATM_CO2GDP,344,KG_PER_CON_USD,2001,0.168
9,EN_ATM_CO2GDP,170,KG_PER_CON_USD,2001,0.149
9,EN_ATM_CO2GDP,178,KG_PER_CON_USD,2001,0.044
9,EN_ATM_CO2GDP,188,KG_PER_CON_USD,2001,0.095
9,EN_ATM_CO2GDP,384,KG_PER_CON_USD,2001,0.093
9,EN_ATM_CO2GDP,191,KG_PER_CON_USD,2001,0.212
9,EN_ATM_CO2GDP,192,KG_PER_CON_USD,2001,0.166
9,EN_ATM_CO2GDP,531,KG_PER_CON_USD,2001,1.435
9,EN_ATM_CO2GDP,196,KG_PER_CON_USD,2001,0.262
9,EN_ATM_CO2GDP,203,KG_PER_CON_USD,2001,0.459
9,EN_ATM_CO2GDP,408,KG_PER_CON_USD,2001,
9,EN_ATM_CO2GDP,180,KG_PER_CON_USD,2001,0.021
9,EN_ATM_CO2GDP,208,KG_PER_CON_USD,2001,0.199
9,EN_ATM_CO2GDP,514,KG_PER_CON_USD,2001,0.323
9,EN_ATM_CO2GDP,515,KG_PER_CON_USD,2001,0.344
9,EN_ATM_CO2GDP,214,KG_PER_CON_USD,2001,0.22
9,EN_ATM_CO2GDP,14,KG_PER_CON_USD,2001,0.116
9,EN_ATM_CO2GDP,753,KG_PER_CON_USD,2001,0.411
9,EN_ATM_CO2GDP,30,KG_PER_CON_USD,2001,0.466
9,EN_ATM_CO2GDP,518,KG_PER_CON_USD,2001,0.626
9,EN_ATM_CO2GDP,151,KG_PER_CON_USD,2001,0.575
9,EN_ATM_CO2GDP,218,KG_PER_CON_USD,2001,0.188
9,EN_ATM_CO2GDP,818,KG_PER_CON_USD,2001,0.202
9,EN_ATM_CO2GDP,222,KG_PER_CON_USD,2001,0.138
9,EN_ATM_CO2GDP,226,KG_PER_CON_USD,2001,0.084
9,EN_ATM_CO2GDP,232,KG_PER_CON_USD,2001,
9,EN_ATM_CO2GDP,233,KG_PER_CON_USD,2001,0.57
9,EN_ATM_CO2GDP,231,KG_PER_CON_USD,2001,0.077
9,EN_ATM_CO2GDP,150,KG_PER_CON_USD,2001,0.277
9,EN_ATM_CO2GDP,513,KG_PER_CON_USD,2001,0.33
9,EN_ATM_CO2GDP,246,KG_PER_CON_USD,2001,0.286
9,EN_ATM_CO2GDP,250,KG_PER_CON_USD,2001,0.149
9,EN_ATM_CO2GDP,266,KG_PER_CON_USD,2001,0.071
9,EN_ATM_CO2GDP,268,KG_PER_CON_USD,2001,0.161
9,EN_ATM_CO2GDP,276,KG_PER_CON_USD,2001,0.232
9,EN_ATM_CO2GDP,288,KG_PER_CON_USD,2001,0.099
9,EN_ATM_CO2GDP,292,KG_PER_CON_USD,2001,
9,EN_ATM_CO2GDP,300,KG_PER_CON_USD,2001,0.274
9,EN_ATM_CO2GDP,320,KG_PER_CON_USD,2001,0.116
9,EN_ATM_CO2GDP,328,KG_PER_CON_USD,2001,0.277
9,EN_ATM_CO2GDP,332,KG_PER_CON_USD,2001,0.067
9,EN_ATM_CO2GDP,340,KG_PER_CON_USD,2001,0.191
9,EN_ATM_CO2GDP,348,KG_PER_CON_USD,2001,0.266
9,EN_ATM_CO2GDP,352,KG_PER_CON_USD,2001,0.173
9,EN_ATM_CO2GDP,356,KG_PER_CON_USD,2001,0.317
9,EN_ATM_CO2GDP,360,KG_PER_CON_USD,2001,0.22
9,EN_ATM_CO2GDP,364,KG_PER_CON_USD,2001,0.491
9,EN_ATM_CO2GDP,368,KG_PER_CON_USD,2001,0.367
9,EN_ATM_CO2GDP,372,KG_PER_CON_USD,2001,0.22
9,EN_ATM_CO2GDP,376,KG_PER_CON_USD,2001,0.284
9,EN_ATM_CO2GDP,380,KG_PER_CON_USD,2001,0.168
9,EN_ATM_CO2GDP,388,KG_PER_CON_USD,2001,0.39
9,EN_ATM_CO2GDP,392,KG_PER_CON_USD,2001,0.25
9,EN_ATM_CO2GDP,400,KG_PER_CON_USD,2001,0.319
9,EN_ATM_CO2GDP,398,KG_PER_CON_USD,2001,0.629
9,EN_ATM_CO2GDP,404,KG_PER_CON_USD,2001,0.074
9,EN_ATM_CO2GDP,412,KG_PER_CON_USD,2001,0.636
9,EN_ATM_CO2GDP,414,KG_PER_CON_USD,2001,0.441
9,EN_ATM_CO2GDP,417,KG_PER_CON_USD,2001,0.237
9,EN_ATM_CO2GDP,432,KG_PER_CON_USD,2001,0.527
9,EN_ATM_CO2GDP,418,KG_PER_CON_USD,2001,0.06
9,EN_ATM_CO2GDP,419,KG_PER_CON_USD,2001,0.192
9,EN_ATM_CO2GDP,428,KG_PER_CON_USD,2001,0.224
9,EN_ATM_CO2GDP,199,KG_PER_CON_USD,2001,0.119
9,EN_ATM_CO2GDP,422,KG_PER_CON_USD,2001,0.265
9,EN_ATM_CO2GDP,434,KG_PER_CON_USD,2001,0.418
9,EN_ATM_CO2GDP,440,KG_PER_CON_USD,2001,0.211
9,EN_ATM_CO2GDP,442,KG_PER_CON_USD,2001,0.203
9,EN_ATM_CO2GDP,458,KG_PER_CON_USD,2001,0.325
9,EN_ATM_CO2GDP,470,KG_PER_CON_USD,2001,0.235
9,EN_ATM_CO2GDP,480,KG_PER_CON_USD,2001,0.176
9,EN_ATM_CO2GDP,54,KG_PER_CON_USD,2001,
9,EN_ATM_CO2GDP,484,KG_PER_CON_USD,2001,0.206
9,EN_ATM_CO2GDP,57,KG_PER_CON_USD,2001,
9,EN_ATM_CO2GDP,17,KG_PER_CON_USD,2001,0.056
9,EN_ATM_CO2GDP,496,KG_PER_CON_USD,2001,0.8
9,EN_ATM_CO2GDP,499,KG_PER_CON_USD,2001,
9,EN_ATM_CO2GDP,504,KG_PER_CON_USD,2001,0.236
9,EN_ATM_CO2GDP,508,KG_PER_CON_USD,2001,0.104
9,EN_ATM_CO2GDP,104,KG_PER_CON_USD,2001,0.144
9,EN_ATM_CO2GDP,516,KG_PER_CON_USD,2001,0.199
9,EN_ATM_CO2GDP,524,KG_PER_CON_USD,2001,0.064
9,EN_ATM_CO2GDP,528,KG_PER_CON_USD,2001,0.216
9,EN_ATM_CO2GDP,554,KG_PER_CON_USD,2001,0.237
9,EN_ATM_CO2GDP,558,KG_PER_CON_USD,2001,0.179
9,EN_ATM_CO2GDP,562,KG_PER_CON_USD,2001,0.057
9,EN_ATM_CO2GDP,566,KG_PER_CON_USD,2001,0.128
9,EN_ATM_CO2GDP,807,KG_PER_CON_USD,2001,0.432
9,EN_ATM_CO2GDP,15,KG_PER_CON_USD,2001,0.223
9,EN_ATM_CO2GDP,746,KG_PER_CON_USD,2001,0.232
9,EN_ATM_CO2GDP,747,KG_PER_CON_USD,2001,0.272
9,EN_ATM_CO2GDP,21,KG_PER_CON_USD,2001,0.401
9,EN_ATM_CO2GDP,154,KG_PER_CON_USD,2001,0.217
9,EN_ATM_CO2GDP,578,KG_PER_CON_USD,2001,0.126
9,EN_ATM_CO2GDP,9,KG_PER_CON_USD,2001,0.433
9,EN_ATM_CO2GDP,543,KG_PER_CON_USD,2001,0.0
9,EN_ATM_CO2GDP,512,KG_PER_CON_USD,2001,0.287
9,EN_ATM_CO2GDP,586,KG_PER_CON_USD,2001,0.199
9,EN_ATM_CO2GDP,591,KG_PER_CON_USD,2001,0.133
9,EN_ATM_CO2GDP,600,KG_PER_CON_USD,2001,0.076
9,EN_ATM_CO2GDP,604,KG_PER_CON_USD,2001,0.142
9,EN_ATM_CO2GDP,608,KG_PER_CON_USD,2001,0.187
9,EN_ATM_CO2GDP,616,KG_PER_CON_USD,2001,0.458
9,EN_ATM_CO2GDP,61,KG_PER_CON_USD,2001,
9,EN_ATM_CO2GDP,620,KG_PER_CON_USD,2001,0.181
9,EN_ATM_CO2GDP,634,KG_PER_CON_USD,2001,0.422
9,EN_ATM_CO2GDP,410,KG_PER_CON_USD,2001,0.394
9,EN_ATM_CO2GDP,498,KG_PER_CON_USD,2001,0.435
9,EN_ATM_CO2GDP,642,KG_PER_CON_USD,2001,0.323
9,EN_ATM_CO2GDP,643,KG_PER_CON_USD,2001,0.657
9,EN_ATM_CO2GDP,682,KG_PER_CON_USD,2001,0.278
9,EN_ATM_CO2GDP,686,KG_PER_CON_USD,2001,0.145
9,EN_ATM_CO2GDP,688,KG_PER_CON_USD,2001,0.629
9,EN_ATM_CO2GDP,702,KG_PER_CON_USD,2001,0.188
9,EN_ATM_CO2GDP,703,KG_PER_CON_USD,2001,0.429
9,EN_ATM_CO2GDP,705,KG_PER_CON_USD,2001,0.276
